OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k,Nat_5c_corridors,Nat_5c_corridors_truncated_at_200k
215,1,1,144902,144830,29916,82644,64237,109698,144902,144830,29916,82644,109698,64237,40606,40606
216,1,1,228679,150821,8104,32807,234415,375046,,150821,8104,32807,,,150821,150821
217,1,1,228665,97097,19451,49376,224430,324024,,97097,19451,49376,,,97097,97097
218,1,1,134467,46796,34529,85454,80205,133900,134467,46796,34529,85454,133900,80205,46796,46796
219,1,1,158278,76927,1118,10902,140676,266473,158278,76927,1118,10902,,140676,76927,76927
220,1,1,236406,166446,1205,42438,246828,383755,,166446,1205,42438,,,162136,162136
221,1,1,16988,16988,6424,15838,11761,9287,16988,16988,6424,15838,9287,11761,11956,11956
222,1,1,1664,1664,1664,4285,1664,1664,1664,1664,1664,4285,1664,1664,1664,1664
223,1,1,163270,153555,0,5138,159651,293903,163270,153555,0,5138,,159651,59390,59390
224,1,1,13654,13654,566,4598,293,1903,13654,13654,566,4598,1903,293,13654,13654
225,1,1,107316,28218,17882,63293,52333,103354,107316,28218,17882,63293,103354,52333,28218,28218
226,1,6,153512,153540,37599,91562,73156,121390,153512,153540,37599,91562,121390,73156,50772,50772
227,1,1,115096,115096,16462,60018,44466,106834,115096,115096,16462,60018,106834,44466,21455,21455
228,1,1,872,872,872,3494,872,872,872,872,872,3494,872,872,872,872
229,1,1,245955,239173,125475,184679,176624,272560,,,125475,184679,,176624,219738,
230,1,1,54714,54714,1818,38274,14670,26779,54714,54714,1818,38274,26779,14670,10588,10588
231,1,1,94659,83267,0,1478,39029,149676,94659,83267,0,1478,149676,39029,83267,83267
232,1,1,93219,10162,6100,43142,32082,56545,93219,10162,6100,43142,56545,32082,10162,10162
233,1,1,122661,122574,21541,69896,48694,88385,122661,122574,21541,69896,88385,48694,23910,23910
234,1,9,210331,210582,86089,143278,127022,174925,,,86089,143278,174925,127022,110415,110415
235,1,1,99360,90217,53,3215,42708,160564,99360,90217,53,3215,160564,42708,82988,82988
236,1,1,187541,187007,53391,114341,114384,182300,187541,187007,53391,114341,182300,114384,70708,70708
237,1,6,205992,101398,91476,146553,149625,205334,,101398,91476,146553,,149625,101398,101398
238,1,1,88562,16673,5216,45246,33275,84261,88562,16673,5216,45246,84261,33275,16673,16673
239,1,9,284664,217249,180553,217631,233338,291068,,,180553,,,,217249,
240,1,7,235289,234806,5904,46346,244375,386910,,,5904,46346,,,88791,88791
241,1,1,387213,386512,91924,197716,380772,491903,,,91924,197716,,,180189,180189
242,1,1,39991,9951,6389,15253,3133,14459,39991,9951,6389,15253,14459,3133,9951,9951
243,1,8,156903,157406,20398,79363,88655,174447,156903,157406,20398,79363,174447,88655,5986,5986
244,1,1,202232,92093,1565,18693,197535,317317,,92093,1565,18693,,197535,92093,92093
245,1,7,254373,254100,132422,180683,181932,229797,,,132422,180683,,181932,169984,169984
246,1,1,55939,55939,4316,39596,15991,28004,55939,55939,4316,39596,28004,15991,1238,1238
247,1,6,98449,19407,13818,51807,39595,75101,98449,19407,13818,51807,75101,39595,19407,19407
248,1,1,60662,53581,5665,8141,17792,87762,60662,53581,5665,8141,87762,17792,53581,53581
249,1,8,207449,207750,85020,143088,130766,176426,,,85020,143088,176426,130766,115384,115384
250,1,1,314778,314778,43421,135763,296823,407955,,,43421,135763,,,108455,108455
251,1,1,135247,11819,20403,54916,115696,162340,135247,11819,20403,54916,162340,115696,11819,11819
252,1,6,236730,154680,138523,175217,186619,239920,,154680,138523,175217,,186619,154680,154680
253,1,7,160582,160287,51065,105877,95427,133155,160582,160287,51065,105877,133155,95427,83878,83878
254,1,1,117600,117705,23710,72532,54125,83302,117600,117705,23710,72532,83302,54125,34754,34754
255,1,1,225226,184689,117936,152967,149717,243021,,184689,117936,152967,,149717,184689,184689
256,1,1,186895,50236,22501,45549,181344,263011,186895,50236,22501,45549,,181344,50236,50236
257,1,1,48581,39980,809,2435,6097,62206,48581,39980,809,2435,62206,6097,39980,39980
258,1,1,215039,208405,110225,155061,157452,241793,,,110225,155061,,157452,196399,196399
259,1,1,262063,133810,19138,65309,257342,372306,,133810,19138,65309,,,133810,133810
260,1,6,167565,167593,48635,103721,86166,136738,167565,167593,48635,103721,136738,86166,67077,67077
261,1,16,301068,301289,186738,232618,242142,312482,,,186738,,,,262825,
262,1,1,193019,192486,57134,118144,119862,188452,193019,192486,57134,118144,188452,119862,74921,74921
263,1,20,295261,196031,184044,233028,241076,296418,,196031,184044,,,,196031,196031
264,1,1,52770,26112,954,12540,3341,61854,52770,26112,954,12540,61854,3341,26112,26112
265,1,1,306710,212116,200129,246032,253369,308046,,,,,,,212116,
266,1,1,300127,300127,63341,146603,272324,367284,,,63341,146603,,,101839,101839
267,1,6,51816,9155,1739,15357,7189,45733,51816,9155,1739,15357,45733,7189,9155,9155
268,1,1,226597,226302,105293,154789,154135,200093,,,105293,154789,,154135,142187,142187
269,1,1,123695,79598,348,929,88678,206496,123695,79598,348,929,,88678,79598,79598
270,1,1,85699,85497,2431,47649,29535,57461,85699,85497,2431,47649,57461,29535,26775,26775
271,1,8,27137,27137,6123,18419,4742,14200,27137,27137,6123,18419,14200,4742,27137,27137
272,1,1,209804,209680,98347,140530,155352,210682,,,98347,140530,,155352,153697,153697
273,1,1,137988,47044,37420,88953,83704,137399,137988,47044,37420,88953,137399,83704,47044,47044
274,1,1,58114,40054,292,7769,12056,77659,58114,40054,292,7769,77659,12056,40054,40054
275,1,9,218897,105710,96934,152011,162236,217069,,105710,96934,152011,,162236,105710,105710
276,1,5,29293,7315,5380,14971,2629,16104,29293,7315,5380,14971,16104,2629,7315,7315
277,1,1,208043,208043,15716,80267,197756,329437,,,15716,80267,,197756,27131,27131
278,1,1,153279,19934,29055,75175,92979,138774,153279,19934,29055,75175,138774,92979,19934,19934
279,1,1,314827,179192,54851,115963,310393,415885,,179192,54851,115963,,,179192,179192
280,1,1,153447,153447,38719,93391,75702,123430,153447,153447,38719,93391,123430,75702,55464,55464
281,1,1,163709,163818,25141,84374,91440,166821,163709,163818,25141,84374,166821,91440,12780,12780
282,1,7,93310,93310,9715,45579,27453,108495,93310,93310,9715,45579,108495,27453,5552,5552
283,1,9,161268,161141,53466,99453,98017,138853,161268,161141,53466,99453,138853,98017,96413,96413
284,1,1,177590,177698,31415,90939,105110,181320,177590,177698,31415,90939,181320,105110,20292,20292
285,1,5,192538,40347,51051,101715,134188,190297,192538,40347,51051,101715,190297,134188,40347,40347
286,1,1,361517,361517,76117,173818,343870,448453,,,76117,173818,,,156559,156559
287,1,7,253549,171648,153918,192323,202842,257026,,171648,153918,192323,,,171648,171648
288,1,6,211247,80748,78711,133385,152705,206522,,80748,78711,133385,,152705,80748,80748
289,1,1,207940,164682,6599,36369,236256,373301,,164682,6599,36369,,,109786,109786
290,1,1,144157,118487,48166,73015,75034,163560,144157,118487,48166,73015,163560,75034,118487,118487
291,1,1,64357,63824,2620,41611,18007,33736,64357,63824,2620,41611,33736,18007,1204,1204
292,1,1,85715,30493,522,13842,35758,117520,85715,30493,522,13842,117520,35758,30493,30493
293,1,9,105011,13728,8047,43287,45357,79296,105011,13728,8047,43287,79296,45357,13728,13728
294,1,1,109704,109170,12444,57548,34711,77713,109704,109170,12444,57548,77713,34711,17300,17300
295,1,5,230363,230291,33973,63699,236026,377833,,,33973,63699,,,73938,73938
296,1,1,140711,140711,16921,42381,108237,227024,140711,140711,16921,42381,,108237,21507,21507
297,1,1,202194,99759,89837,144914,145230,200939,,99759,89837,144914,,145230,99759,99759
298,1,1,42209,15610,5016,11478,75,23377,42209,15610,5016,11478,23377,75,15610,15610
299,1,1,85274,10402,4324,40986,27382,63999,85274,10402,4324,40986,63999,27382,10402,10402
300,1,1,384993,384993,107597,205299,367258,462219,,,107597,,,,183118,183118
