OBJECTID,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
71,1880676573,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/9992239,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,New Hampshire,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.726311,-72.259226,122,,,,,,2018-02-25T10:00:00Z,25,2,2018,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,9992239,,,2019-08-21T13:46:50Z,CC_BY_NC_4_0,doughardy,doughardy,,,2019-11-29T15:09:03.049Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,262455,261921,78921,149196,205992,290187,,,78921,149196,,
72,1880666600,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5148094,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.534546,-73.266806,4,,,,,,2017-01-27T23:52:00Z,27,1,2017,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,5148094,,,2019-08-21T13:42:56Z,CC_BY_NC_4_0,Winooski Valley Park District,Winooski Valley Park District,,,2019-11-29T15:08:54.920Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,246703,246703,14139,76566,245733,378479,,,14139,76566,,
73,1847584029,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/12727374,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.833278,-72.633995,11908,,,,,,2018-05-09T00:00:00Z,9,5,2018,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,12727374,,,2019-08-21T13:49:31Z,CC_BY_NC_4_0,Sarah Carline,Sarah Carline,,,2019-11-29T15:10:28.123Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,7,216439,216362,36201,98469,161784,256074,,,36201,98469,,161784
74,1847443762,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/12158905,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.085088,-72.817383,95,,,,,,2018-04-17T00:00:00Z,17,4,2018,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,12158905,,,2019-08-21T13:49:15Z,CC_BY_NC_4_0,Jito,Jito,,,2019-11-29T15:10:24.333Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84,1,226949,226949,21990,88281,185760,280721,,,21990,88281,,185760
75,1838013269,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10656698,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.510768,-73.232718,224,,,,,,2018-02-12T13:57:00Z,12,2,2018,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,10656698,,,2019-08-21T13:48:19Z,CC_BY_NC_4_0,Winooski Valley Park District,Winooski Valley Park District,,,2019-11-29T15:08:58.887Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,3,248017,248017,15511,77938,238756,371501,,,15511,77938,,
76,1838009722,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10547005,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.583309,-72.583641,,,,,,,2018-03-30T15:19:56Z,30,3,2018,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,10547005,,,2019-08-21T13:47:58Z,CC_BY_NC_4_0,Todd Belanger,Todd Belanger,,,2019-11-29T15:09:03.466Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,194650,194650,36244,96075,128339,209905,194650,194650,36244,96075,,128339
77,1838008573,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10439363,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.445434,-73.231329,9,,,,,,2018-03-26T18:47:01Z,26,3,2018,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,10439363,,,2019-08-21T13:47:36Z,CC_BY_NC_4_0,Sophie Mazowita,Sophie Mazowita,,,2019-11-29T15:09:01.890Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,225966,225966,13248,75824,216705,349451,,,13248,75824,,
78,1837066743,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10401303,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.444121,-73.226585,9,,,,,,2018-03-24T18:59:16Z,24,3,2018,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,10401303,,,2019-08-21T13:47:29Z,CC_BY_NC_4_0,Sophie Mazowita,Sophie Mazowita,,,2019-11-29T15:10:02.156Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,226537,226537,13248,76491,217276,350021,,,13248,76491,,
79,1836581629,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10098828,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,New Hampshire,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.842941,-72.46891,1559,,,,,,2018-03-04T00:00:00Z,4,3,2018,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,10098828,,,2019-08-21T13:47:02Z,CC_BY_NC_4_0,darontansley,darontansley,,,2019-11-29T15:09:03.831Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84,1,198944,198972,67066,128873,119691,175475,198944,198972,67066,128873,175475,119691
80,1836579307,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10093536,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,New Hampshire,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.841234,-72.473888,488,,,,,,2018-03-04T14:56:00Z,4,3,2018,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,10093536,,,2019-08-21T13:47:01Z,CC_BY_NC_4_0,darontansley,darontansley,,,2019-11-29T15:10:18.571Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,198646,198674,66768,128575,119234,174860,198646,198674,66768,128575,174860,119234
