OBJECTID,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
280,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.351565,-73.006675,10,,,,,,2016-10-13T15:28:38Z,13,10,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,4347872,,,2016-10-14T15:17:30Z,CC_BY_NC_4_0,mloscalzo,mloscalzo,,,2019-09-21T02:13:25.836Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,7,234421,234421,18050,98188,215470,334018,,,18050,98188,,
281,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.991615,-72.527245,,,,,,,2016-10-02T12:04:08Z,2,10,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,4254436,,,2016-10-02T19:50:43Z,CC_BY_NC_4_0,Laura Gaudette,Laura Gaudette,,,2019-09-21T02:13:25.788Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,182010,181476,54618,116095,107625,165788,182010,181476,54618,116095,165788,107625
282,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.340855,-72.461197,,,,,,,2016-07-25T11:40:00Z,25,7,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,4209638,,,2016-09-26T21:30:08Z,CC_BY_NC_4_0,Erika Mitchell,Erika Mitchell,,,2019-09-21T02:13:25.642Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,304014,304014,65346,148608,280354,375314,,,65346,148608,,
283,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.341,-72.461163,,,,,,,2016-07-25T14:22:00Z,25,7,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,4209643,,,2016-09-26T21:30:16Z,CC_BY_NC_4_0,Erika Mitchell,Erika Mitchell,,,2019-09-21T02:13:25.371Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,304014,304014,65346,148608,280354,375314,,,65346,148608,,
284,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.209444,-74.050285,59,,,,,,2011-04-15T01:11:02Z,15,4,2011,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,4086242,,,2016-09-11T17:15:27Z,CC_BY_NC_4_0,konaofpomona,konaofpomona,,,2019-09-21T02:13:24.960Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,7,241935,242253,127216,173582,182620,256906,,,127216,173582,,182620
285,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.63516,-72.53066,,,,,,,2013-07-11T00:00:00Z,11,7,2013,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,333656,,,2013-07-15T20:21:37Z,CC_BY_NC_4_0,blikely,blikely,,,2019-09-21T02:13:24.947Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,1,207274,207274,43584,104411,146086,229358,,,43584,104411,,146086
286,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.655925,-72.671242,,,,,,,2016-09-05T08:42:33Z,5,9,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,4043216,,,2016-09-05T22:22:56Z,CC_BY_NC_4_0,Noel Dodge,Noel Dodge,,,2019-09-21T02:13:26.294Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,329615,329615,50404,148030,311660,422791,,,50404,148030,,
287,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.340881,-72.461311,,,,,,,2016-04-16T00:02:00Z,16,4,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,2969788,,,2016-04-18T23:26:13Z,CC_BY_NC_4_0,Erika Mitchell,Erika Mitchell,,,2019-09-21T02:13:26.288Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,1,303834,303834,65166,148428,280174,375134,,,65166,148428,,
288,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.171682,-72.606463,8185,,,,,,2014-08-07T17:45:31Z,7,8,2014,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,2873840,,,,CC_BY_NC_4_0,Don Clark,Don Clark,,,2019-09-21T02:13:25.473Z,,GEODETIC_DATUM_ASSUMED_WGS84,9,167502,166969,42060,102101,94346,158282,167502,166969,42060,102101,158282,94346
289,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.340855,-72.461197,,,,,,,2016-06-14T10:05:00Z,14,6,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,3970847,,,2016-08-27T02:20:49Z,CC_BY_NC_4_0,Erika Mitchell,Erika Mitchell,,,2019-09-21T02:13:25.676Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,304014,304014,65346,148608,280354,375314,,,65346,148608,,
