OBJECTID,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
276,1880664374,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/366062,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.993034,-72.529249,194,,,,,,2013-08-08T00:00:00Z,8,8,2013,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,366062,,,2013-08-15T13:23:29Z,CC_BY_NC_4_0,Laura Gaudette,Laura Gaudette,,,2019-09-21T00:27:57.074Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,5,182925,182392,55534,117011,108540,166330,182925,182392,55534,117011,166330,108540
277,1880646398,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/14088399,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.713622,-73.445237,27754,,,,,,2018-06-27T00:00:00Z,27,6,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,14088399,,,2018-07-05T23:41:11Z,CC_BY_NC_4_0,John McPhee,John McPhee,,,2019-09-21T00:27:56.293Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,167868,167741,59820,103234,104617,146951,167868,167741,59820,103234,146951,104617
278,1880453746,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10054748,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.350137,-72.542313,244,,,,,,2018-02-07T17:46:00Z,7,2,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,10054748,,,2018-03-02T16:17:02Z,CC_BY_NC_4_0,ctc,ctc,,,2019-09-21T00:28:04.582Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,2,184925,184391,43504,103027,111768,183652,184925,184391,43504,103027,183652,111768
279,1850991084,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/552063,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.019268,-73.179937,23,,,,,,2014-03-04T00:00:00Z,4,3,2014,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,552063,,,2014-03-04T15:29:26Z,CC_BY_NC_4_0,Ron Payne,Ron Payne,,,2019-09-21T00:28:08.130Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,1,194332,194332,23362,69437,157825,255976,194332,194332,23362,69437,,157825
280,1850990298,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/4369061,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.351814,-73.006884,10,,,,,,2016-10-14T08:05:10Z,14,10,2016,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,4369061,,,,CC_BY_NC_4_0,mloscalzo,mloscalzo,,,2019-09-21T00:28:06.937Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,233956,233956,17458,97595,215005,333553,,,17458,97595,,
281,1850988589,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/197610,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.630833,-72.52,,,,,,,2013-01-16T14:19:50Z,16,1,2013,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,197610,,,2013-02-13T19:21:57Z,CC_BY_NC_4_0,Ed Sharron,Ed Sharron,,,2019-09-21T00:27:58.955Z,,GEODETIC_DATUM_ASSUMED_WGS84,1,208336,208336,44541,105439,147045,230317,,,44541,105439,,147045
282,1850988379,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/197612,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.629666,-72.5205,,,,,,,2013-01-16T14:12:49Z,16,1,2013,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,197612,,,2013-02-13T19:21:57Z,CC_BY_NC_4_0,Ed Sharron,Ed Sharron,,,2019-09-21T00:28:02.084Z,,GEODETIC_DATUM_ASSUMED_WGS84,9,209236,209236,45494,106373,147945,231217,,,45494,106373,,147945
283,1850983852,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/13424473,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.406941,-72.962362,1032,,,,,,2018-06-09T18:49:59Z,9,6,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,13424473,,,2018-06-14T15:40:20Z,CC_BY_NC_4_0,belliott,belliott,,,2019-09-21T00:28:05.994Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,252607,252607,15495,96348,234584,351513,,,15495,96348,,
284,1850913345,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/13140395,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.101866,-73.084017,103,,,,,,2017-01-07T14:31:26Z,7,1,2017,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,13140395,,,2018-06-05T12:57:54Z,CC_BY_NC_4_0,dzilembo,dzilembo,,,2019-09-21T00:28:03.932Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,202808,202808,13994,70016,178975,272726,,,13994,70016,,178975
285,1850899008,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/11375714,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Massachusetts,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.322721,-72.526248,15,,,,,,2018-04-23T18:32:37Z,23,4,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,11375714,,,2018-04-23T22:54:57Z,CC_BY_NC_4_0,Tieran Rosefield,Tieran Rosefield,,,2019-09-21T00:27:58.305Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,7,232920,233087,102983,160731,144476,197522,,,102983,160731,197522,144476
