OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
950,1,1,361517,361517,76117,173818,343870,448453,,,76117,173818,,
951,1,5,230363,230291,33973,63699,236026,377833,,,33973,63699,,
952,1,1,384993,384993,107597,205299,367258,462219,,,107597,,,
953,1,1,318042,318042,47627,139601,300087,410955,,,47627,139601,,
954,1,1,296607,296607,45596,129234,277963,378323,,,45596,129234,,
955,1,1,386136,386136,109942,207644,367594,462555,,,109942,,,
956,1,7,323806,323806,58235,146654,304855,413368,,,58235,146654,,
957,1,9,249779,249779,17215,79642,244678,377423,,,17215,79642,,
958,1,1,216389,216389,13884,81030,206102,339084,,,13884,81030,,
959,1,1,199461,172453,1537,29840,228219,366286,199461,172453,1537,29840,,
960,1,5,320309,317471,20482,129354,329756,469222,,,20482,129354,,
961,1,1,318808,318829,69715,154503,296975,391935,,,69715,154503,,
962,1,1,333956,333255,38022,149430,332958,464126,,,38022,149430,,
963,1,1,403058,403058,114180,212640,385411,489739,,,114180,,,
964,1,7,180640,180640,1893,22226,183629,325436,180640,180640,1893,22226,,183629
965,1,1,313534,313286,29869,124714,304180,418761,,,29869,124714,,
966,1,1,303683,303503,37324,124795,285548,396680,,,37324,124795,,
967,1,1,412808,411822,122683,221142,398267,504478,,,122683,,,
968,1,1,157184,151780,581,5958,146966,281732,157184,151780,581,5958,,146966
969,1,1,409788,409087,119948,218408,392618,496947,,,119948,,,
970,1,6,379620,379620,104494,202195,361395,456356,,,104494,,,
971,1,1,190962,163748,440,21406,214300,350353,190962,163748,440,21406,,
972,1,1,205472,177201,658,39898,241254,378488,,177201,658,39898,,
973,1,4,371177,370476,77600,181679,366707,477838,,,77600,181679,,
974,1,1,168969,168969,4016,15444,160112,303045,168969,168969,4016,15444,,160112
975,1,4,291151,271840,28192,105813,312571,458085,,,28192,105813,,
976,1,1,423618,423618,141448,239908,404470,499431,,,141448,,,
977,1,1,220624,190546,7327,57719,260001,396406,,190546,7327,57719,,
978,1,1,325575,324874,32844,136599,322545,445957,,,32844,136599,,
979,1,1,334427,334427,89374,174162,300759,395719,,,89374,174162,,
980,1,8,319357,319075,35633,130338,306165,418439,,,35633,130338,,
981,1,4,379448,378747,80777,187377,375841,487342,,,80777,187377,,
