OBJECTID,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
151,2013739466,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/21176262,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.820272,-72.754058,27723,,,,,,2019-03-12T00:00:00Z,12,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,21176262,,,2019-03-12T15:16:17Z,CC_BY_NC_4_0,lalalisa,lalalisa,,,2019-09-21T00:28:01.379Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,8,252318,252187,127291,184657,174477,223186,,,127291,184657,,174477
152,2013724453,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/21129646,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.57678,-72.959216,27785,,,,,,2019-03-10T00:00:00Z,10,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,21129646,,,2019-03-10T23:49:30Z,CC_BY_NC_4_0,Lauren Babcock-Dunning,Lauren Babcock-Dunning,,,2019-09-21T00:28:01.717Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,259120,258862,137169,185430,186695,233969,,,137169,185430,,186695
153,2013721229,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/21118679,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.663273,-72.828371,27754,,,,,,2019-03-10T14:20:28Z,10,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,21118679,,,2019-03-10T18:23:25Z,CC_BY_NC_4_0,jbisinct,jbisinct,,,2019-09-21T00:28:00.341Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,20,282898,282615,158964,210267,208133,255434,,,158964,,,
154,2013701660,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/21063554,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.931759,-72.912599,27723,,,,,,2019-03-08T16:45:29Z,8,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,21063554,,,2019-03-08T22:01:31Z,CC_BY_NC_4_0,rjmichna,rjmichna,,,2019-09-21T00:28:03.580Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,195078,195436,75850,132320,120545,165947,195078,195436,75850,132320,165947,120545
155,2013680253,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10088365,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.969517,-72.720239,27723,,,,,,2018-03-14T10:05:00Z,14,3,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,10088365,,,2018-03-04T20:20:23Z,CC_BY_NC_4_0,iwkk15,iwkk15,,,2019-09-21T00:28:04.709Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,7,222345,223417,100190,158208,146434,193928,,,100190,158208,193928,146434
156,2013020174,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/21025547,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.252413,-73.048588,27816,,,,,,2019-03-07T11:52:00Z,7,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,21025547,,,2019-03-07T16:53:49Z,CC_BY_NC_4_0,Donna Boughton Moore,Donna Boughton Moore,,,2019-09-21T00:28:01.189Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,326110,325983,213510,256790,262548,305267,,,,,,
157,2013020165,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/21025641,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.356446,-73.065867,27816,,,,,,2019-03-07T00:00:00Z,7,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,21025641,,,2019-03-07T16:56:29Z,CC_BY_NC_4_0,Donna Boughton Moore,Donna Boughton Moore,,,2019-09-21T00:27:59.038Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,300712,300634,184364,228132,233890,279919,,,184364,,,
158,2013002851,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20971241,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.621873,-72.818235,27754,,,,,,2019-03-05T00:00:00Z,5,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,20971241,,,2019-03-05T15:37:08Z,CC_BY_NC_4_0,birdseye,birdseye,,,2019-09-21T00:28:01.055Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,284340,284058,158488,208741,209575,258049,,,158488,,,
159,2012983061,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20912540,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.461538,-73.006819,27785,,,,,,2014-11-11T14:44:52Z,11,11,2014,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,20912540,,,2019-03-03T16:14:05Z,CC_BY_NC_4_0,niedziela,niedziela,,,2019-09-21T00:28:05.381Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,279460,279332,159952,207227,209478,257795,,,159952,,,
160,2012963951,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20858245,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.78532,-72.817555,27754,,,,,,2019-03-01T13:34:19Z,1,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,20858245,,,,CC_BY_NC_4_0,freddymac,freddymac,,,2019-09-21T00:27:57.363Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,6,246637,246355,123125,174553,170007,218095,,,123125,174553,,170007
161,2012958238,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20839183,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.392155,-73.202315,27816,,,,,,2019-02-28T06:00:00Z,28,2,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,20839183,,,2019-03-01T22:36:04Z,CC_BY_NC_4_0,dshicks928,dshicks928,,,2019-09-21T00:28:06.434Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,261583,261455,152565,193341,198332,240740,,,152565,193341,,198332
